100th Date,Close,MACD_diff_pytorch,Decision MACD_pytorch,SMA20_pytorch,SMA50_pytorch,Signal_pytorch,Decision GC_pytorch,RSI_pytorch,SMA200_pytorch,Decision RSI/SMA_pytorch,Decision Financial Status,Date,Decision GC_transformers,Decision MACD_transformers,Decision RSI/SMA_transformers,MACD_diff_transformers,RSI_transformers,SMA200_transformers,SMA20_transformers,SMA50_transformers,Signal_transformers
2016-07-29,7.296024745116425,,False,,,False,,,,False,True,2018-10-04,,False,False,,,,,,False
2016-08-01,7.296024745116425,,False,,,False,False,,,False,True,2018-10-05,False,False,False,,,,,,False
2016-08-02,7.296024745116425,,False,,,False,False,,,False,True,2018-10-08,False,False,False,,,,,,False
2016-08-03,7.296024745116425,,False,,,False,False,,,False,True,2018-10-09,False,False,False,,,,,,False
2016-08-04,7.296024745116425,,False,,,False,False,,,False,True,2018-10-10,False,False,False,,,,,,False
2016-08-05,7.296024745116425,,False,,,False,False,,,False,True,2018-10-11,False,False,False,,,,,,False
2016-08-08,7.296024745116425,,False,,,False,False,,,False,True,2018-10-12,False,False,False,,,,,,False
2016-08-09,7.296024745116425,,False,,,False,False,,,False,True,2018-10-15,False,False,False,,,,,,False
2016-08-10,7.296024745116425,,False,,,False,False,,,False,True,2018-10-16,False,False,False,,,,,,False
2016-08-11,7.296024745116425,,False,,,False,False,100.0,,False,True,2018-10-17,False,False,False,,0.0,,,,False
2016-08-12,7.296024745116425,,False,,,False,False,100.0,,False,True,2018-10-18,False,False,False,,0.0,,,,False
2016-08-15,7.296024745116425,,False,,,False,False,100.0,,False,True,2018-10-19,False,False,False,,0.0,,,,False
2016-08-16,7.296024745116425,,False,,,False,False,100.0,,False,True,2018-10-22,False,False,False,,0.0,,,,False
2016-08-17,7.296024745116425,,False,,,False,False,100.0,,False,True,2018-10-23,False,False,False,,0.0,,,,False
2016-08-18,7.296024745116425,,False,,,False,False,100.0,,False,True,2018-10-24,False,False,False,,0.0,,,,False
